,Year,Oil_Price,Oil_Production,Well_Count,GDP
count,22.0,22.0,22.0,22.0,22.0
mean,2007.5,52.98253787878789,1821.0416666666665,166601.04545454544,27801.136363636357
std,6.493586579592718,27.979038630322314,1042.9361127530256,13979.571297593577,13686.1545901426
min,1997.0,12.207499999999998,1072.0,151205.0,10182.2
25%,2002.25,28.701666666666668,1100.625,156045.75,17100.775
50%,2007.5,50.55333333333334,1221.2916666666665,161249.5,26875.45
75%,2012.75,74.17520833333334,2402.25,178064.0,34450.85
max,2018.0,97.0425,4416.333333333333,193807.0,53496.5
